day_of_week, month, breakfast_booked, lunch_booked, dinner_booked, menu_type, total_booked, waste_pct, waste_kg, money_wasted_inr, actual_attendance
          0,    11,              182,          278,           234,         0,          694,      7.34,    27.02,          2161.91,               640
          1,    11,              147,          303,           258,         1,          708,      3.0 ,    11.47,           918.0 ,               643
          2,    11,              176,          323,           269,         0,          768,      3.41,    14.04,          1123.41,               751
          3,    11,              159,          315,           253,         0,          727,      6.24,    24.45,          1956.14,               689
          4,    11,              167,          319,           282,         0,          768,      4.7 ,    19.43,          1554.52,               721
          5,    11,              131,          205,           189,         0,          525,     12.38,    34.58,          2766.32,               472
          6,    11,              107,          191,           186,         1,          484,     10.11,    26.25,          2100.32,               456
          0,    11,              147,          275,           306,         1,          728,      3.0 ,    11.76,           941.04,               683
          1,    11,              157,          328,           269,         0,          754,      7.15,    29.14,          2331.45,               687
          2,    11,              178,          298,           318,         1,          794,      3.0 ,    12.75,          1019.76,               751
          3,    11,              179,          313,           303,         1,          795,      3.0 ,    12.78,          1022.52,               725
          4,    11,              168,          292,           288,         1,          748,      3.0 ,    12.02,           961.92,               692
          5,    11,              144,          211,           183,         0,          538,     13.08,    37.25,          2980.16,               520
          6,    11,               93,          189,           211,         0,          493,     16.08,    42.88,          3430.08,               478
          0,    11,              152,          318,           301,         1,          771,      3.0 ,    12.51,          1001.16,               696
          1,    11,              182,          292,           254,         1,          728,      3.0 ,    11.63,           930.48,               695
          2,    11,              163,          302,           303,         0,          768,      5.92,    24.47,          1957.85,               708
          3,    11,              174,          351,           268,         1,          793,      3.0 ,    12.83,          1026.24,               768
          4,    11,              168,          313,           307,         1,          788,      3.0 ,    12.72,          1017.24,               729
          5,    11,              122,          230,           183,         0,          535,     12.3 ,    35.37,          2829.34,               481
          6,    11,               98,          169,           227,         1,          494,      7.71,    20.46,          1636.75,               447
          0,    11,              164,          302,           285,         1,          751,      3.0 ,    12.11,           968.52,               670
          1,    11,              180,          296,           276,         0,          752,      5.95,    23.87,          1909.4 ,               691
          2,    11,              164,          340,           288,         1,          792,      3.0 ,    12.84,          1027.2 ,               742
          3,     0,              177,          331,           283,         1,          791,      3.0 ,    12.75,          1020.12,               754
          4,     0,              173,          294,           270,         1,          737,      3.0 ,    11.82,           945.84,               655
          5,     0,              132,          209,           195,         0,          536,     14.32,    40.88,          3270.52,               500
          6,     0,              117,          261,           200,         0,          578,     13.92,    43.63,          3490.37,               514
          0,     0,              179,          315,           303,         1,          797,      3.0 ,    12.82,          1025.4 ,               743
          1,     0,              165,          283,           276,         1,          724,      3.0 ,    11.63,           930.24,               644
          2,     0,              159,          319,           310,         0,          788,      5.5 ,    23.38,          1870.75,               751
          3,     0,              150,          316,           301,         0,          767,      5.01,    20.79,          1662.98,               711
          4,     0,              165,          308,           265,         0,          738,      6.45,    25.57,          2045.76,               721
          5,     0,              112,          217,           174,         1,          503,      5.11,    13.82,          1105.55,               489
          6,     0,              124,          201,           221,         0,          546,     15.49,    45.19,          3615.43,               481
          0,     0,              171,          326,           254,         0,          751,      4.33,    17.47,          1397.24,               703
          1,     0,              145,          333,           270,         1,          748,      3.0 ,    12.19,           975.12,               702
          2,     0,              159,          311,           307,         1,          777,      3.0 ,    12.57,          1005.72,               713
          3,     0,              198,          332,           298,         1,          828,      3.0 ,    13.27,          1061.52,               798
          4,     0,              179,          296,           265,         1,          740,      3.0 ,    11.85,           947.88,               659
          5,     0,              111,          199,           202,         0,          512,     14.08,    38.72,          3097.41,               456
          6,     0,              115,          238,           169,         1,          522,      8.02,    22.58,          1806.6 ,               480
          0,     0,              157,          270,           278,         0,          705,      6.33,    23.9 ,          1911.95,               654
          1,     0,              190,          320,           261,         0,          771,      6.92,    28.47,          2277.77,               719
          2,     0,              186,          319,           275,         1,          780,      3.0 ,    12.51,          1000.92,               736
          3,     0,              162,          329,           313,         1,          804,      3.0 ,    13.03,          1042.44,               727
          4,     0,              160,          285,           282,         1,          727,      3.0 ,    11.7 ,           936.24,               681
          5,     0,              118,          206,           181,         1,          505,      4.15,    11.22,           897.4 ,               481
          6,     0,              121,          198,           168,         0,          487,     14.4 ,    37.38,          2990.01,               467
          0,     0,              167,          343,           309,         1,          819,      3.0 ,    13.28,          1062.12,               728
          1,     0,              158,          317,           262,         0,          737,      6.19,    24.59,          1967.29,               670
          2,     0,              179,          332,           278,         0,          789,      5.0 ,    21.19,          1695.5 ,               727
          3,     0,              154,          291,           275,         0,          720,      6.49,    25.16,          2012.85,               656
          4,     0,              181,          291,           306,         0,          778,      5.11,    21.23,          1698.78,               760
          5,     1,              113,          194,           146,         0,          453,     14.91,    36.07,          2885.82,               412
          6,     1,              125,          203,           191,         0,          519,     16.63,    46.03,          3682.71,               475
          0,     1,              144,          297,           294,         0,          735,      4.97,    19.76,          1580.96,               672
          1,     1,              172,          280,           288,         0,          740,      5.87,    23.2 ,          1856.33,               678
          2,     1,              143,          331,           266,         1,          740,      3.0 ,    12.06,           965.04,               673
          3,     1,              171,          330,           261,         1,          762,      3.0 ,    12.3 ,           983.88,               674
          4,     1,              174,          321,           283,         1,          778,      3.0 ,    12.54,          1002.84,               743
          5,     1,              101,          210,           170,         1,          481,      3.45,     8.96,           716.89,               424
          6,     1,              120,          227,           147,         1,          494,      7.78,    20.63,          1650.14,               447
          0,     1,              177,          349,           280,         0,          806,      4.33,    18.79,          1503.23,               729
          1,     1,              165,          335,           268,         0,          768,      4.84,    20.06,          1604.77,               725
          2,     1,              160,          288,           282,         0,          730,      7.35,    28.8 ,          2304.29,               650
          3,     1,              172,          302,           274,         0,          748,      4.53,    18.15,          1451.96,               700
          4,     1,              181,          306,           276,         1,          763,      3.0 ,    12.23,           978.72,               688
          5,     1,              118,          193,           182,         1,          493,      6.52,    17.16,          1373.12,               461
          6,     1,              115,          180,           206,         1,          501,      7.95,    21.25,          1700.13,               482
          0,     1,              196,          329,           271,         0,          796,      6.08,    25.85,          2068.11,               756
          1,     1,              169,          325,           288,         1,          782,      3.0 ,    12.63,          1010.4 ,               748
          2,     1,              158,          328,           273,         1,          759,      3.0 ,    12.3 ,           984.36,               725
          3,     1,              153,          316,           317,         1,          786,      3.0 ,    12.75,          1020.36,               766
          4,     1,              168,          336,           278,         1,          782,      3.0 ,    12.65,          1012.08,               699
          5,     1,               98,          217,           186,         0,          501,     14.27,    38.78,          3102.51,               453
          6,     1,              131,          260,           200,         1,          591,      7.4 ,    23.55,          1883.82,               536
          0,     1,              170,          300,           286,         0,          756,      5.42,    21.98,          1758.57,               665
          1,     1,              170,          334,           261,         1,          765,      3.0 ,    12.36,           988.68,               741
          2,     1,              187,          305,           241,         0,          733,      5.52,    21.54,          1723.39,               647
          3,     1,              187,          307,           262,         1,          756,      3.0 ,    12.09,           967.44,               729
          4,     1,              180,          318,           275,         1,          773,      3.0 ,    12.42,           993.72,               685
          5,     1,              108,          190,           219,         1,          517,      4.99,    13.85,          1107.74,               470
          6,     1,              132,          239,           207,         1,          578,      6.98,    21.66,          1732.49,               548
          0,     2,              174,          307,           263,         1,          744,      3.0 ,    11.95,           956.28,               660
          1,     2,              150,          331,           271,         1,          752,      3.0 ,    12.23,           978.36,               714
          2,     2,              172,          302,           290,         0,          764,      3.16,    12.94,          1035.24,               737
          3,     2,              181,          281,           282,         0,          744,      5.39,    21.35,          1708.35,               659
          4,     2,              152,          294,           289,         0,          735,      4.12,    16.32,          1305.29,               689
          5,     2,              119,          218,           201,         1,          538,      3.82,    11.03,           882.51,               495
          6,     2,              120,          204,           202,         0,          526,     15.63,    44.0 ,          3519.85,               476
          0,     2,              166,          288,           299,         1,          753,      3.0 ,    12.11,           968.76,               717
          1,     2,              135,          324,           270,         1,          729,      3.0 ,    11.91,           952.56,               678
          2,     2,              172,          311,           292,         0,          775,      3.03,    12.59,          1007.26,               694
          3,     2,              175,          302,           293,         0,          770,      3.94,    16.26,          1300.48,               717
          4,     2,              153,          329,           270,         0,          752,      4.37,    17.78,          1422.06,               697
          5,     2,              119,          245,           185,         1,          549,      3.0 ,     8.89,           711.24,               506
          6,     2,              113,          202,           204,         0,          519,     12.92,    36.0 ,          2880.04,               467
          0,     2,              152,          286,           297,         1,          735,      3.0 ,    11.87,           949.8 ,               696
          1,     2,              166,          304,           281,         1,          751,      3.0 ,    12.1 ,           968.04,               725
          2,     2,              154,          312,           297,         0,          763,      3.96,    16.3 ,          1304.33,               673
          3,     2,              170,          328,           231,         1,          729,      3.0 ,    11.76,           940.44,               682
          4,     2,              158,          271,           289,         0,          718,      5.33,    20.5 ,          1640.24,               678
          5,     2,              111,          228,           219,         1,          558,      3.68,    11.11,           888.52,               526
          6,     2,              138,          223,           191,         1,          552,      4.44,    13.05,          1044.1 ,               512
          0,     2,              164,          291,           319,         1,          774,      3.0 ,    12.47,           997.56,               686
          1,     2,              169,          319,           280,         0,          768,      4.84,    19.97,          1597.83,               734
          2,     2,              158,          311,           266,         0,          735,      3.0 ,    11.88,           950.64,               705
          3,     2,              158,          307,           272,         1,          737,      3.0 ,    11.91,           952.8 ,               706
          4,     2,              146,          306,           252,         1,          704,      3.0 ,    11.42,           913.44,               633
          5,     2,              115,          179,           184,         0,          478,     11.23,    28.59,          2286.98,               442
          6,     2,              118,          235,           156,         0,          509,     14.46,    39.61,          3168.98,               455
          0,     2,              165,          321,           283,         0,          769,      3.0 ,    12.43,           994.2 ,               723
          1,     2,              163,          292,           299,         1,          754,      3.0 ,    12.15,           971.64,               737
          2,     3,              196,          306,           267,         1,          769,      3.0 ,    12.27,           981.24,               725
          3,     3,              140,          276,           284,         0,          700,      4.91,    18.54,          1483.09,               671
          4,     3,              144,          325,           271,         1,          740,      3.0 ,    12.05,           963.96,               704
          5,     3,              138,          226,           185,         0,          549,     10.05,    29.41,          2352.58,               535
          6,     3,               81,          194,           186,         1,          461,      6.3 ,    15.81,          1264.59,               411
          0,     3,              166,          309,           275,         0,          750,      3.23,    13.02,          1041.48,               706
          1,     3,              170,          316,           260,         1,          746,      3.0 ,    12.02,           961.44,               713
          2,     3,              166,          308,           292,         1,          766,      3.0 ,    12.35,           988.32,               693
          3,     3,              182,          313,           268,         1,          763,      3.0 ,    12.24,           979.2 ,               699
          4,     3,              150,          310,           279,         0,          739,      3.75,    14.97,          1197.87,               678
          5,     3,              112,          171,           180,         1,          463,      4.13,    10.17,           813.96,               420
          6,     3,              116,          188,           212,         0,          516,     13.57,    37.42,          2993.44,               477
          0,     3,              182,          316,           268,         0,          766,      4.93,    20.2 ,          1616.33,               749
          1,     3,              150,          326,           298,         1,          774,      3.0 ,    12.58,          1006.8 ,               701
          2,     3,              188,          302,           285,         1,          775,      3.0 ,    12.39,           991.56,               756
          3,     3,              165,          324,           294,         1,          783,      3.0 ,    12.66,          1013.04,               729
          4,     3,              187,          274,           298,         1,          759,      3.0 ,    12.09,           967.44,               719
          5,     3,               97,          200,           170,         0,          467,     11.82,    29.83,          2386.37,               432
          6,     3,              109,          224,           213,         0,          546,     14.93,    44.06,          3524.46,               492
          0,     3,              159,          303,           249,         0,          711,      3.69,    14.11,          1128.79,               650
          1,     3,              182,          340,           257,         0,          779,      3.0 ,    12.54,          1003.56,               691
          2,     3,              167,          313,           265,         0,          745,      4.16,    16.67,          1333.73,               715
          3,     3,              160,          307,           289,         0,          756,      3.67,    14.92,          1193.81,               675
          4,     3,              161,          305,           278,         1,          744,      3.0 ,    12.01,           960.72,               726
          5,     3,              110,          240,           200,         0,          550,     10.51,    31.33,          2506.45,               531
          6,     3,              124,          202,           211,         0,          537,     14.24,    40.85,          3267.96,               521
          0,     3,              166,          316,           251,         0,          733,      3.1 ,    12.23,           978.37,               705
          1,     3,              150,          310,           311,         0,          771,      5.22,    21.77,          1741.61,               688
          2,     3,              177,          318,           247,         0,          742,      3.44,    13.66,          1092.47,               700
          3,     3,              156,          295,           276,         1,          727,      3.0 ,    11.74,           938.88,               662
          4,     4,              138,          322,           260,         1,          720,      3.0 ,    11.74,           939.36,               669
          5,     4,              145,          190,           144,         1,          479,      3.59,     9.01,           720.68,               460
          6,     4,              130,          248,           167,         1,          545,      6.22,    18.21,          1456.78,               531
          0,     4,              161,          305,           327,         0,          793,      3.0 ,    12.82,          1025.4 ,               750
          1,     4,              171,          317,           299,         0,          787,      3.27,    13.85,          1107.84,               697
          2,     4,              172,          300,           284,         0,          756,      3.39,    13.71,          1096.88,               707
          3,     4,              177,          300,           286,         0,          763,      3.53,    14.41,          1152.99,               710
          4,     4,              184,          306,           248,         0,          738,      4.94,    19.44,          1555.36,               681
          5,     4,              100,          195,           179,         0,          474,     12.99,    33.18,          2654.54,               425
          6,     4,               81,          271,           209,         1,          561,      5.76,    17.86,          1429.14,               509
          0,     4,              167,          313,           289,         1,          769,      3.0 ,    12.41,           992.52,               710
          1,     4,              176,          309,           276,         1,          761,      3.0 ,    12.23,           978.24,               730
          2,     4,              165,          330,           290,         1,          785,      3.0 ,    12.71,          1016.4 ,               704
          3,     4,              177,          311,           279,         0,          767,      3.18,    13.08,          1046.58,               749
          4,     4,              184,          326,           266,         1,          776,      3.0 ,    12.46,           997.2 ,               695
          5,     4,               99,          181,           178,         1,          458,      4.82,    11.86,           948.94,               409
          6,     4,              128,          219,           203,         0,          550,     14.16,    41.67,          3333.96,               521
          0,     4,              158,          316,           294,         0,          768,      4.08,    16.93,          1354.07,               708
          1,     4,              185,          322,           286,         1,          793,      3.0 ,    12.73,          1018.8 ,               772
          2,     4,              167,          290,           277,         1,          734,      3.0 ,    11.79,           943.56,               664
          3,     4,              157,          305,           265,         1,          727,      3.0 ,    11.75,           939.72,               643
          4,     4,              139,          312,           280,         0,          731,      3.38,    13.42,          1073.37,               680
          5,     4,              123,          227,           161,         0,          511,     10.72,    29.38,          2350.45,               477
          6,     4,              102,          190,           204,         1,          496,      6.4 ,    17.1 ,          1368.09,               483
          0,     4,              164,          267,           291,         1,          722,      3.0 ,    11.58,           926.04,               649
          1,     4,              168,          313,           304,         1,          785,      3.0 ,    12.67,          1013.28,               702
          2,     4,              122,          311,           312,         0,          745,      4.82,    19.6 ,          1568.14,               724
          3,     4,              171,          298,           294,         0,          763,      3.0 ,    12.27,           981.36,               700
          4,     4,              175,          318,           299,         0,          792,      5.33,    22.66,          1812.49,               724
          5,     4,              119,          198,           189,         1,          506,      3.0 ,     8.11,           648.84,               468
          6,     5,              103,          200,           180,         0,          483,     14.88,    38.71,          3096.77,               445
          0,     5,              155,          330,           280,         1,          765,      3.0 ,    12.42,           993.6 ,               710
          1,     5,              163,          311,           294,         0,          768,      3.0 ,    12.4 ,           992.4 ,               736
          2,     5,              158,          301,           255,         0,          714,      3.63,    13.96,          1116.69,               657
          3,     5,              160,          325,           284,         1,          769,      3.0 ,    12.46,           996.48,               717
          4,     5,              180,          305,           287,         1,          772,      3.0 ,    12.39,           990.84,               735
          5,     5,              117,          197,           146,         0,          460,     11.99,    29.42,          2353.42,               431
          6,     5,              135,          227,           207,         1,          569,      6.45,    19.62,          1569.85,               526
          0,     5,              169,          311,           268,         1,          748,      3.0 ,    12.05,           963.84,               678
          1,     5,              177,          332,           277,         0,          786,      3.0 ,    12.67,          1013.64,               734
          2,     5,              168,          320,           254,         1,          742,      3.0 ,    11.97,           957.36,               718
          3,     5,              159,          283,           270,         1,          712,      3.0 ,    11.46,           916.56,               659
          4,     5,              161,          337,           285,         1,          783,      3.0 ,    12.7 ,          1016.04,               696
          5,     5,              123,          186,           208,         1,          517,      3.18,     8.76,           701.07,               459
          6,     5,              124,          187,           162,         0,          473,     15.56,    39.04,          3123.07,               441
          0,     5,              173,          289,           264,         0,          726,      5.01,    19.43,          1554.41,               693
          1,     5,              150,          340,           263,         1,          753,      3.0 ,    12.26,           980.76,               713
          2,     5,              163,          320,           270,         1,          753,      3.0 ,    12.17,           973.68,               695
          3,     5,              168,          287,           293,         0,          748,      3.37,    13.5 ,          1079.7 ,               725
          4,     5,              164,          288,           233,         1,          685,      3.0 ,    11.0 ,           879.72,               614
          5,     5,              150,          224,           189,         1,          563,      3.0 ,     8.95,           716.04,               523
          6,     5,              114,          219,           168,         1,          501,      7.38,    19.87,          1589.77,               486
          0,     5,              178,          322,           287,         0,          787,      3.21,    13.56,          1084.57,               709
          1,     5,              178,          319,           273,         0,          770,      3.0 ,    12.38,           990.6 ,               749
          2,     5,              169,          338,           257,         1,          764,      3.0 ,    12.35,           988.2 ,               685
          3,     5,              170,          309,           283,         0,          762,      3.77,    15.4 ,          1232.11,               697
          4,     5,              164,          337,           251,         0,          752,      3.06,    12.41,           992.61,               672
          5,     5,              112,          176,           186,         1,          474,      5.22,    13.19,          1055.11,               459
          6,     5,              114,          213,           167,         0,          494,     14.1 ,    37.39,          2991.36,               471
          0,     5,              162,          301,           303,         1,          766,      3.0 ,    12.36,           988.92,               676
          1,     6,              151,          312,           288,         1,          751,      3.0 ,    12.18,           974.4 ,               711
          2,     6,              191,          287,           265,         0,          743,      3.0 ,    11.83,           946.44,               726
          3,     6,              164,          317,           297,         0,          778,      3.27,    13.7 ,          1096.24,               716
          4,     6,              163,          311,           264,         0,          738,      5.6 ,    22.24,          1779.08,               722
          5,     6,               89,          212,           226,         1,          527,      3.1 ,     8.9 ,           712.11,               514
          6,     6,              111,          201,           186,         0,          498,     15.63,    41.77,          3341.95,               474
          0,     6,              134,          338,           254,         0,          726,      3.9 ,    15.43,          1234.78,               703
          1,     6,              161,          319,           251,         0,          731,      4.4 ,    17.35,          1387.84,               673
          2,     6,              198,          280,           283,         0,          761,      3.06,    12.31,           984.7 ,               703
          3,     6,              174,          308,           268,         0,          750,      4.14,    16.64,          1330.86,               702
          4,     6,              195,          304,           292,         0,          791,      3.0 ,    12.63,          1010.4 ,               699
          5,     6,               99,          218,           216,         1,          533,      3.29,     9.51,           761.06,               494
          6,     6,              109,          208,           167,         0,          484,     15.22,    39.62,          3169.56,               450
          0,     6,              181,          298,           271,         1,          750,      3.0 ,    12.01,           960.6 ,               678
          1,     6,              161,          306,           317,         1,          784,      3.0 ,    12.67,          1013.64,               760
          2,     6,              162,          295,           293,         1,          750,      3.0 ,    12.09,           967.08,               667
          3,     6,              158,          334,           305,         0,          797,      3.0 ,    12.94,          1035.24,               760
          4,     6,              140,          328,           267,         0,          735,      4.61,    18.41,          1473.11,               699
          5,     6,               84,          226,           168,         1,          478,      4.41,    11.55,           923.89,               428
          6,     6,              114,          189,           182,         0,          485,     15.27,    39.58,          3166.01,               435
          0,     6,              169,          319,           315,         0,          803,      3.0 ,    12.97,          1037.4 ,               766
          1,     6,              192,          310,           263,         1,          765,      3.0 ,    12.22,           977.88,               709
          2,     6,              165,          326,           277,         1,          768,      3.0 ,    12.42,           993.48,               748
          3,     6,              146,          307,           257,         1,          710,      3.0 ,    11.52,           921.48,               655
          4,     6,              181,          299,           233,         0,          713,      4.46,    16.96,          1356.93,               696
          5,     6,              120,          217,           212,         0,          549,      9.91,    29.21,          2336.74,               527
          6,     6,              124,          232,           157,         0,          513,     14.56,    40.06,          3205.11,               470
          0,     6,              160,          306,           286,         0,          752,      3.33,    13.48,          1078.72,               730
          1,     6,              157,          308,           260,         0,          725,      3.26,    12.72,          1017.54,               683
          2,     6,              178,          285,           291,         0,          754,      4.06,    16.33,          1306.53,               696
          3,     7,              142,          294,           301,         0,          737,      3.16,    12.6 ,          1008.06,               709
          4,     7,              161,          317,           294,         0,          772,      3.22,    13.4 ,          1071.98,               687
          5,     7,              105,          237,           221,         1,          563,      3.34,    10.21,           816.5 ,               526
          6,     7,              115,          192,           175,         0,          482,     15.19,    39.1 ,          3128.12,               456
          0,     7,              174,          336,           291,         1,          801,      3.0 ,    12.94,          1035.0 ,               719
          1,     7,              183,          288,           273,         1,          744,      3.0 ,    11.88,           950.76,               655
          2,     7,              197,          370,           290,         1,          857,      3.0 ,    13.81,          1104.72,               776
          3,     7,              176,          325,           274,         0,          775,      4.81,    20.02,          1601.54,               725
          4,     7,              171,          317,           291,         1,          779,      3.0 ,    12.56,          1004.76,               691
          5,     7,              126,          196,           179,         0,          501,     10.6 ,    28.26,          2260.54,               479
          6,     7,              120,          224,           198,         1,          542,      7.21,    21.0 ,          1680.12,               513
          0,     7,              167,          321,           260,         0,          748,      3.47,    13.96,          1117.17,               717
          1,     7,              178,          324,           274,         0,          776,      3.3 ,    13.75,          1099.94,               742
          2,     7,              145,          300,           296,         0,          741,      4.35,    17.42,          1393.23,               682
          3,     7,              175,          308,           280,         1,          763,      3.0 ,    12.26,           981.12,               696
          4,     7,              178,          316,           288,         1,          782,      3.0 ,    12.58,          1006.08,               753
          5,     7,               81,          230,           181,         1,          492,      3.0 ,     8.1 ,           647.88,               459
          6,     7,              124,          201,           209,         0,          534,     14.48,    41.3 ,          3304.0 ,               480
          0,     7,              178,          280,           301,         0,          759,      3.82,    15.48,          1238.21,               718
          1,     7,              162,          310,           248,         1,          720,      3.0 ,    11.62,           929.28,               682
          2,     7,              152,          280,           252,         0,          684,      5.63,    20.69,          1654.81,               624
          3,     7,              158,          338,           270,         1,          766,      3.0 ,    12.43,           994.8 ,               716
          4,     7,              151,          332,           277,         0,          760,      3.16,    13.02,          1041.86,               675
          5,     7,              116,          219,           210,         1,          545,      3.98,    11.68,           934.76,               497
          6,     7,              108,          182,           182,         1,          472,      7.13,    18.0 ,          1439.9 ,               420
          0,     7,              153,          288,           286,         1,          727,      3.0 ,    11.74,           939.12,               681
          1,     7,              168,          292,           275,         1,          735,      3.0 ,    11.81,           944.76,               683
          2,     7,              181,          328,           246,         1,          755,      3.0 ,    12.13,           970.8 ,               690
          3,     7,              145,          294,           278,         0,          717,      3.09,    11.95,           955.94,               670
          4,     7,              154,          287,           283,         0,          724,      4.2 ,    16.34,          1307.14,               709
          5,     8,              103,          212,           180,         0,          495,     11.36,    30.37,          2429.63,               461
          6,     8,              139,          235,           166,         1,          540,      6.56,    18.9 ,          1511.77,               512
          0,     8,              180,          285,           294,         1,          759,      3.0 ,    12.14,           971.28,               705
          1,     8,              151,          289,           298,         0,          738,      4.15,    16.49,          1319.47,               720
          2,     8,              176,          314,           287,         1,          777,      3.0 ,    12.5 ,           999.96,               750
          3,     8,              183,          331,           275,         0,          789,      3.13,    13.24,          1059.39,               699
          4,     8,              145,          318,           290,         0,          753,      3.66,    14.92,          1193.95,               663
          5,     8,              130,          202,           200,         0,          532,     10.2 ,    28.9 ,          2311.88,               518
          6,     8,              113,          205,           194,         0,          512,     14.02,    38.55,          3084.24,               486
          0,     8,              166,          324,           272,         1,          762,      3.0 ,    12.31,           984.96,               710
          1,     8,              194,          335,           256,         0,          785,      3.78,    15.84,          1267.18,               756
          2,     8,              160,          313,           285,         0,          758,      3.44,    14.06,          1125.14,               677
          3,     8,              156,          294,           263,         1,          713,      3.0 ,    11.5 ,           920.28,               644
          4,     8,              166,          293,           292,         1,          751,      3.0 ,    12.08,           966.72,               718
          5,     8,              105,          213,           198,         1,          516,      3.64,    10.14,           811.04,               464
          6,     8,              115,          223,           198,         0,          536,     12.97,    37.44,          2995.52,               496
          0,     8,              181,          325,           266,         1,          772,      3.0 ,    12.41,           992.88,               703
          1,     8,              178,          303,           299,         0,          780,      5.19,    21.67,          1733.62,               722
          2,     8,              156,          280,           285,         0,          721,      4.76,    18.44,          1474.96,               654
          3,     8,              164,          337,           255,         1,          756,      3.0 ,    12.24,           979.32,               683
          4,     8,              158,          342,           315,         0,          815,      3.0 ,    13.25,          1059.96,               751
          5,     8,              105,          226,           183,         0,          514,     11.25,    31.31,          2505.07,               455
          6,     8,              114,          170,           189,         0,          473,     14.35,    36.11,          2888.44,               441
          0,     8,              160,          336,           257,         0,          753,      4.36,    17.72,          1418.0 ,               730
          1,     8,              163,          302,           294,         0,          759,      3.89,    15.86,          1269.04,               730
          2,     8,              176,          327,           274,         1,          777,      3.0 ,    12.52,          1001.52,               749
          3,     8,              151,          291,           333,         1,          775,      3.0 ,    12.54,          1003.56,               721
          4,     8,              147,          281,           288,         0,          716,      4.7 ,    18.12,          1449.93,               662
          5,     8,              122,          203,           187,         0,          512,     11.58,    31.67,          2533.74,               484
          6,     8,              115,          164,           185,         0,          464,     14.36,    35.34,          2827.55,               423
          0,     9,              170,          367,           286,         1,          823,      3.0 ,    13.37,          1069.2 ,               781
          1,     9,              181,          317,           287,         0,          785,      3.71,    15.6 ,          1248.06,               747
          2,     9,              198,          285,           288,         1,          771,      3.0 ,    12.26,           980.64,               703
          3,     9,              176,          289,           272,         0,          737,      3.71,    14.59,          1167.27,               714
          4,     9,              182,          326,           257,         1,          765,      3.0 ,    12.29,           983.4 ,               743
          5,     9,              103,          183,           186,         1,          472,      3.67,     9.3 ,           744.34,               438
          6,     9,              150,          217,           165,         0,          532,     13.57,    38.12,          3049.58,               491
          0,     9,              183,          349,           251,         1,          783,      3.0 ,    12.62,          1009.56,               746
          1,     9,              196,          315,           264,         0,          775,      3.8 ,    15.69,          1255.2 ,               732
          2,     9,              128,          308,           285,         0,          721,      4.92,    19.34,          1547.25,               693
          3,     9,              152,          309,           263,         1,          724,      3.0 ,    11.73,           938.04,               657
          4,     9,              154,          299,           262,         1,          715,      3.0 ,    11.55,           924.24,               660
          5,     9,              126,          204,           190,         0,          520,     10.04,    27.84,          2227.52,               498
          6,     9,              109,          207,           237,         0,          553,     12.82,    38.21,          3056.74,               513
          0,     9,              189,          327,           285,         1,          801,      3.0 ,    12.86,          1028.52,               761
          1,     9,              173,          315,           279,         0,          767,      4.47,    18.42,          1473.33,               682
          2,     9,              184,          295,           256,         1,          735,      3.0 ,    11.74,           939.36,               698
          3,     9,              155,          306,           302,         1,          763,      3.0 ,    12.35,           988.08,               704
          4,     9,              167,          309,           295,         1,          771,      3.0 ,    12.43,           994.68,               694
          5,     9,              104,          213,           211,         0,          528,     10.69,    30.5 ,          2440.36,               503
          6,     9,               85,          221,           178,         0,          484,     13.79,    36.47,          2917.6 ,               451
          0,     9,              158,          304,           269,         0,          731,      3.0 ,    11.81,           944.52,               703
          1,     9,              181,          333,           291,         0,          805,      3.0 ,    12.97,          1037.4 ,               724
          2,     9,              164,          307,           290,         0,          761,      4.12,    16.86,          1348.95,               707
          3,     9,              156,          309,           288,         0,          753,      4.87,    19.78,          1582.44,               668
          4,     9,              178,          323,           281,         1,          782,      3.0 ,    12.59,          1006.92,               734
          5,     9,              120,          191,           215,         0,          526,     11.67,    32.77,          2621.64,               511
          6,     9,              107,          199,           195,         0,          501,     14.86,    40.03,          3202.26,               465
          0,     9,              170,          314,           310,         0,          794,      3.95,    16.85,          1348.06,               771
          1,     9,              170,          326,           261,         0,          757,      3.96,    16.14,          1290.94,               702
          2,    10,              195,          303,           264,         1,          762,      3.0 ,    12.15,           972.0 ,               741
          3,    10,              151,          292,           273,         1,          716,      3.0 ,    11.57,           925.8 ,               660
          4,    10,              168,          326,           263,         1,          757,      3.0 ,    12.22,           977.88,               724
          5,    10,              121,          229,           178,         0,          528,     11.76,    33.37,          2669.87,               472
          6,    10,               97,          226,           193,         1,          516,      6.7 ,    18.8 ,          1504.33,               470
          0,    10,              150,          290,           290,         0,          730,      3.29,    12.95,          1036.11,               649
          1,    10,              174,          280,           295,         1,          749,      3.0 ,    12.0 ,           959.64,               699
          2,    10,              176,          320,           267,         0,          763,      4.02,    16.45,          1316.35,               699
          3,    10,              171,          297,           261,         1,          729,      3.0 ,    11.7 ,           936.36,               675
          4,    10,              173,          276,           281,         1,          730,      3.0 ,    11.68,           934.44,               681
          5,    10,              124,          202,           184,         0,          510,     11.94,    32.46,          2597.16,               491
          6,    10,              119,          215,           198,         1,          532,      4.79,    13.68,          1094.39,               519
          0,    10,              179,          320,           261,         1,          760,      3.0 ,    12.21,           977.16,               668
          1,    10,              167,          305,           286,         0,          758,      4.78,    19.44,          1555.15,               700
          2,    10,              184,          281,           291,         0,          756,      4.72,    19.0 ,          1519.91,               690
